domain,title,url
eutimes.net,Catholics Okay With Dangerous COVID-19 Vaccine But Just Not One Made With Aborted Fetal Tissue,https://www.eutimes.net/2020/05/catholics-okay-with-dangerous-covid-19-vaccine-but-just-not-one-made-with-aborted-fetal-tissue/
eutimes.net,Tanzanian President says Coronavirus is a HOAX after Tests find Goat Milk and Fruits COVID-19 Positive,https://www.eutimes.net/2020/05/tanzanian-president-says-coronavirus-is-a-hoax-after-tests-find-goat-milk-and-fruits-covid-19-positive/
eutimes.net,"With Millions of Americans out Rioting, what about COVID-19? Its all a HOAX, including the Riots!",https://www.eutimes.net/2020/05/with-millions-of-americans-out-rioting-what-about-covid-19-its-all-a-hoax-including-the-riots/
eutimes.net,"COVID-19 Apocalypse exposed as a TOTAL HOAX by UK Lockdown Czar, Where's the OUTRAGE?",https://www.eutimes.net/2020/06/covid-19-apocalypse-exposed-as-a-total-hoax-by-uk-lockdown-czar-wheres-the-outrage/
eutimes.net,UK NHS doctor exposes the Plandemic: I've signed death certificates during Covid-19 and I know,https://www.eutimes.net/2020/05/uk-nhs-doctor-exposes-the-plandemic-ive-signed-death-certificates-during-covid-19-and-i-know/
eutimes.net,African Poachers are freely Killing all Wild Animals because of COVID-19 Lockdowns,https://www.eutimes.net/2020/05/african-poachers-are-freely-killing-all-wild-animals-because-of-covid-19-lockdowns/
eutimes.net,Stockholm Syndrome: Study Claims People Trust Their Leaders Even MORE After COVID-19 Lockdown,https://www.eutimes.net/2020/04/stockholm-syndrome-study-claims-people-trust-their-leaders-even-more-after-covid-19-lockdown/
eutimes.net,US Government officially Labels COVID-19 a Chinese Artificial Bioweapon Escaped from Wuhan Lab,https://www.eutimes.net/2020/04/us-government-officially-labels-covid-19-a-chinese-artificial-bioweapon-escaped-from-wuhan-lab/
eutimes.net,Romania Pays Citizens in BRIBES to Say they Died of COVID-19 to FALSELY Inflate Numbers,https://www.eutimes.net/2020/05/romania-pays-citizens-in-bribes-to-say-they-died-of-covid-19-to-falsely-inflate-numbers/
eutimes.net,Italian Deputy Denounces Statistical Fraud of COVID-19 Deaths to impose Dictatorship,https://www.eutimes.net/2020/05/italian-deputy-denounces-statistical-fraud-of-covid-19-deaths-to-impose-dictatorship/
eutimes.net,Trump Goes Off Script And Admits The Truth: COVID-19 'Will Go Away Without A Vaccine',https://www.eutimes.net/2020/05/trump-goes-off-script-and-admits-the-truth-covid-19-will-go-away-without-a-vaccine/
eutimes.net,Doctors Now Blaming Serious Side Effects From Childhood Vaccines On COVID-19,https://www.eutimes.net/2020/05/doctors-now-blaming-serious-side-effects-from-childhood-vaccines-on-covid-19/
eutimes.net,"WHO Offered $20million BRIBE to Destroy COVID-19 Cure Made by Madagascar, President Andry Rajoelina",https://www.eutimes.net/2020/05/who-offered-20million-bribe-to-destroy-covid-19-cure-made-by-madagascar-president-andry-rajoelina/
eutimes.net,Russia says it has gained Herd Immunity to COVID-19,https://www.eutimes.net/2020/05/russia-says-it-has-gained-herd-immunity-to-covid-19/
eutimes.net,"Russia exposes Covid-19 with Scientific Data as a Hoax, says its a Fake Pandemic",https://www.eutimes.net/2020/05/russia-exposes-covid-19-with-scientific-data-as-a-hoax-says-its-a-fake-pandemic/
eutimes.net,FBI Raids Detroit-Area Medical Facility 'For Using Intravenous Vitamin C to Treat COVID-19 Patients',https://www.eutimes.net/2020/04/fbi-raids-detroit-area-medical-facility-for-using-intravenous-vitamin-c-to-treat-covid-19-patients/
eutimes.net,Henry Kissinger calls for Global NWO government: 'Even US can't defeat COVID-19 alone',https://www.eutimes.net/2020/04/henry-kissinger-calls-for-global-nwo-government-even-us-cant-defeat-covid-19-alone/
eutimes.net,Smoking and Vaping PROTECTS you from Coronavirus COVID-19 according to New Study,https://www.eutimes.net/2020/04/smoking-and-vaping-protects-you-from-coronavirus-covid-19-according-to-new-study/
eutimes.net,"Italy, Austria and Denmark reopen from COVID-19 AFTER EASTER, this was a OPEN WAR on Jesus's Resurrection",https://www.eutimes.net/2020/04/italy-austria-and-denmark-reopen-from-covid-19-after-easter-this-was-a-open-war-on-jesuss-resurrection/
eutimes.net,99% Of Israeli Start-Up Companies Eligible For Tens Of Millions In COVID-19 U.S. Bailout Grants,https://www.eutimes.net/2020/04/99-of-israeli-start-up-companies-eligible-for-tens-of-millions-in-covid-19-us-bailout-grants/
eutimes.net,Turkey Plans to Send Fresh Wave of COVID-19 Infected Migrants to Europe,https://www.eutimes.net/2020/04/turkey-plans-to-send-fresh-wave-of-covid-19-infected-migrants-to-europe/
eutimes.net,US Judge Seizes Custody of Child Because Mother Works at a Hospital and Might Infect It with COVID-19,https://www.eutimes.net/2020/04/us-judge-seizes-custody-of-child-because-mother-works-at-a-hospital-and-might-infect-it-with-covid-19/
eutimes.net,"Stanford study: COVID-19 much more widespread than thought, and NO MORE DEADLY THAN FLU",https://www.eutimes.net/2020/04/stanford-study-covid-19-much-more-widespread-than-thought-and-no-more-deadly-than-flu/
eutimes.net,Respiratory Specialist Reveals Anyone Who Enters Hospital With Breathing Problems Labeled COVID-19,https://www.eutimes.net/2020/04/respiratory-specialist-reveals-anyone-who-enters-hospital-with-breathing-problems-labeled-covid-19/
eutimes.net,New Coronavirus Mutation Discovered Could Make All COVID-19 Vaccines In Development Already Useless,https://www.eutimes.net/2020/04/new-coronavirus-mutation-discovered-could-make-all-covid-19-vaccines-in-development-already-useless/
eutimes.net,21% OF ALL New Yorkers already had COVID-19 and Recovered on their Own without any Treatments or Hospitalization,https://www.eutimes.net/2020/04/21-of-all-new-yorkers-already-had-covid-19-and-recovered-on-their-own-without-any-treatments-or-hospitalization/
eutimes.net,"COVID-19 Coronavirus is NOTHING, just the regular FLU, according to Iceland",https://www.eutimes.net/2020/04/covid-19-coronavirus-is-nothing-just-the-regular-flu-according-to-iceland/
eutimes.net,"Covid-19 is deadly, but it will never kill the relentless stupidity of Leftists",https://www.eutimes.net/2020/04/covid-19-is-deadly-but-it-will-never-kill-the-relentless-stupidity-of-leftists/
eutimes.net,COVID-19: Biological Weapon that Cancels out Globalization,https://www.eutimes.net/2020/04/covid-19-biological-weapon-that-cancels-out-globalization/
eutimes.net,"At Odds with the WHO, Trump blames World Health Organization for COVID-19 deaths",https://www.eutimes.net/2020/04/at-odds-with-the-who-trump-blames-world-health-organization-for-covid-19-deaths/
