domain,title,url
quadrant.org.au,Is Japan Politically Correct?,https://quadrant.org.au/magazine/2020/06/the-slow-strangulation-of-hong-kong/
quadrant.org.au,Space Between Their Ears,https://quadrant.org.au/opinion/qed/2020/06/historys-worthwhile-warts/
quadrant.org.au,Slaying the Dragon,https://quadrant.org.au/magazine/2020/06/the-red-elephant-in-the-room/
quadrant.org.au,Correcting the correctors,https://quadrant.org.au/opinion/doomed-planet/2020/06/an-endlessly-renewable-source-of-green-agitprop/
quadrant.org.au,"The ABC: You Pay, They Twist",https://quadrant.org.au/opinion/qed/2020/03/covid-19-the-blunt-instrument-of-suppression/
quadrant.org.au,Green Ideology’s Failed Experiment,https://quadrant.org.au/opinion/qed/2020/06/if-not-for-lies-they-would-be-mute/
quadrant.org.au,No Fools Like Old Age Pension Fools,https://quadrant.org.au/opinion/qed/2020/04/truth-the-ongoing-casualty-of-covid-19/
quadrant.org.au,Racist Crowds? It’s a Bill of Goodes,https://quadrant.org.au/opinion/qed/2020/05/state-power-control-and-corvid-19/
quadrant.org.au,Blinded by the Dominant Ideology,https://quadrant.org.au/magazine/2020/05/the-fever-shed-covid-19-and-the-dominion-of-presentism/
quadrant.org.au,Robert’s nice new friend,https://quadrant.org.au/opinion/qed/2020/05/comrade-dan-does-not-believe-in-song/
quadrant.org.au,The Fibro School by the Swamp,https://quadrant.org.au/magazine/2020/06/coming-home-in-the-time-of-coronavirus/
quadrant.org.au,Gender Diversity in Khaki,https://quadrant.org.au/magazine/2020/06/the-possession-of-australia/
quadrant.org.au,Censorship for a Transgressive Age,https://quadrant.org.au/magazine/2020/06/sheep-playing-at-shepherds/
quadrant.org.au,Aldermen and aldermaniacs,https://quadrant.org.au/labour-saving-strategiesat-their-abc/
quadrant.org.au,"Money, spin and lies",https://quadrant.org.au/opinion/qed/2020/05/strange-times/
quadrant.org.au,Culture catcher: 17,https://quadrant.org.au/opinion/qed/2020/05/run-the-numbers-survey-the-folly/
quadrant.org.au,The True Lies of Zionophobia,https://quadrant.org.au/magazine/2020/06/global-inc-versus-the-people/
quadrant.org.au,"The Commission’s Sins, Venial and Mortal",https://quadrant.org.au/opinion/qed/2020/05/the-english-curriculums-comorbidity/
quadrant.org.au,"Goodon’ya, Alan!",https://quadrant.org.au/opinion/qed/2020/05/a-societal-cytokine-storm/
quadrant.org.au,"Triggs, still on the payroll",https://quadrant.org.au/life-in-danigrad/
quadrant.org.au,"Poor Sydney, What They’ve Done to You",https://quadrant.org.au/opinion/qed/2020/05/the-national-forelock-there-for-the-tugging/
quadrant.org.au,Toby Young’s Genetic Meritocracy,https://quadrant.org.au/opinion/qed/2020/05/in-victoria-liberty-waits-for-september/
quadrant.org.au,"Turnbull’s Head, the Best Christmas Gift",https://quadrant.org.au/opinion/qed/2020/05/on-living-in-a-pandemic-age/
quadrant.org.au,On the Trail of Oswald’s Ghost,https://quadrant.org.au/opinion/travel-qed/2020/05/my-days-as-an-outcast-of-the-ocean/
quadrant.org.au,He Will Fight Them on the Beaches,https://quadrant.org.au/opinion/qed/2020/05/experts-damned-by-their-own-research/
quadrant.org.au,"Thieves at the Door, Dolts in Residence",https://quadrant.org.au/opinion/qed/2020/05/the-unelected-cant-wash-their-hands/
quadrant.org.au,The curse of maleness,https://quadrant.org.au/a-strine-notein-beijings-choir/
quadrant.org.au,Turnbull’s Islamic Howlers,https://quadrant.org.au/opinion/qed/2020/05/prepare-for-an-orgy-of-back-patting/
quadrant.org.au,The Gay Alphabet’s Missing Characters,https://quadrant.org.au/opinion/qed/2020/05/kommissar-of-all-the-kiwis/
quadrant.org.au,Hong Kong and the Vigour of a Free Society,https://quadrant.org.au/magazine/2020/05/emperor-xi-has-no-clothes/
quadrant.org.au,"The ’70s Again, with a Transgender Bonus",https://quadrant.org.au/magazine/2020/05/a-failure-of-nerve/
quadrant.org.au,Civil Disobedience vs. Section 18C,https://quadrant.org.au/opinion/qed/2020/05/that-second-wave-it-remains-a-phantom/
quadrant.org.au,"Packaging putrescence,Obama-style",https://quadrant.org.au/opinion/qed/2020/05/a-plague-of-authoritarian-fat-headedness/
quadrant.org.au,Logic Joins The Hunt For Flt 370,https://quadrant.org.au/opinion/qed/2020/05/foresight-ignored-as-hindsight-makes-clear/
quadrant.org.au,The Truth of Fiction,https://quadrant.org.au/magazine/2020/05/the-party-of-lazarus/
quadrant.org.au,Beach Burial,https://quadrant.org.au/opinion/qed/2020/05/the-covidecameron/
quadrant.org.au,October,https://quadrant.org.au/what-next-premiers/
quadrant.org.au,Capitalism’s Halting Progress in Asia,https://quadrant.org.au/magazine/2020/05/indias-trinity-of-troubles/
quadrant.org.au,"Dismal Science, Dismal Record",https://quadrant.org.au/magazine/2020/05/the-pleasant-embrace-of-fear/
quadrant.org.au,Never too Young for a Brainwashing,https://quadrant.org.au/opinion/qed/2020/04/that-elusive-second-wave/
quadrant.org.au,Let’s have a proper probe,https://quadrant.org.au/opinion/qed/2020/04/a-delinquent-panda-in-need-of-lockdown-time/
quadrant.org.au,A New Case for Small-Government Conservatism,https://quadrant.org.au/magazine/2020/04/suicide-of-the-west-postponed/
quadrant.org.au,"Changing sun, changing climate",https://quadrant.org.au/opinion/doomed-planet/2020/04/the-reef-could-use-a-dose-of-the-wuhan-flu/
quadrant.org.au,"Longfellow, wrong fellow",https://quadrant.org.au/opinion/qed/2020/04/nicola-roxon-how-smart-you-were/
quadrant.org.au,The Adam Smith antidote,https://quadrant.org.au/opinion/qed/2020/04/our-coming-bleak-winter-and-beyond/
quadrant.org.au,"Malcolm Turnbull, Party of One",https://quadrant.org.au/opinion/qed/2020/04/why-be-rational-when-panic-is-an-option/
quadrant.org.au,"Your Taxes, Their ABC",https://quadrant.org.au/opinion/qed/2020/04/lost-in-a-wilderness-of-models/
quadrant.org.au,Of fairies and moderate Muslims,https://quadrant.org.au/whats-the-exit-strategy/
quadrant.org.au,Our flexible multiculturalism,https://quadrant.org.au/people-need-to-change-permanently/
quadrant.org.au,Pryor Convictions and Trumped-Up Tears,https://quadrant.org.au/opinion/qed/2020/04/checking-facts-the-abc-way/
quadrant.org.au,Put a Race Commissar to Work!,https://quadrant.org.au/opinion/qed/2020/04/a-world-turned-upside-down/
quadrant.org.au,More Frightening than Brexit,https://quadrant.org.au/magazine/2020/04/maladies-and-diseases/
quadrant.org.au,The Opioid Theatre Inside My Head,https://quadrant.org.au/opinion/qed/2020/04/the-express-road-to-serfdom/
quadrant.org.au,No Fools Like Old Age Pension Fools,https://quadrant.org.au/opinion/qed/2020/04/well-pay-in-pain-when-the-bill-comes-due/
